itemLabel,item
Q13561346,Motor fishing vessel
Q1137441,Yawl
Q220635,Carrack
Q19302585,Boom defence vessel
Q16523,Hopper barge
Q182531,Battleship
Q2035668,East indiaman
Q1403637,Motor gun boat
Q3114762,Warship
Q4847899,Barquentine
Q2694199,Lighter
Q431858,Factory ship
Q12859788,Steamship
Q174736,Destroyer
Q1321309,Houseboat
Q170173,Yacht
Q6484595,Landing craft tank
Q17210,Container ship
Q181469,Galleon
Q4168239,Drifter
Q11446,Ship
Q973740,Whaler
Q170013,Corvette
Q402092,Motor ship
Q7605392,Steam yacht
Q1109500,Collier
Q13561346,Fishing vessel
Q15888,Hospital ship
Q16518,Barge
Q525365,Seaplane tender
Q611564,Skiff
Q640078,Minelayer
Q1121471,Paddle steamer
Q104843,Cruiser
Q753784,Ketch
Q5810820,Dredger
Q10701315,Transport vessel
Q2340654,Pink
Q382586,Smack
Q1361551,Lifeboat
Q13400773,Yole
Q783186,Lugger
Q331795,Patrol vessel
Q189418,Brigantine
Q6918138,Motor launch
Q1416413,Hulk
Q188924,Galley
Q683363,Cutter
Q1933634,Snow
Q207452,Ship of the line
Q2811,Submarine
Q693340,Pontoon
Q16023965,Liner
Q634415,Midget submarine
Q1964323,Wherry
Q1303735,Survey vessel
Q214190,Battlecruiser
Q3290919,Speedboat
Q18458725,Motor torpedo boat
Q202527,Minesweeper
Q210223,Sloop
Q35872,Boat
Q593485,Liberty ship
Q2353279,Dogger
Q4698501,Aircraft carrier
Q1092993,Barque
Q1995139,Hoy
Q5515289,Gabbart
Q12012855,Frigate
Q14702209,Bucket dredger